log records count: 1191

Patch 	0049F3FE/04 ->Apply       (HD3), z-order = 0
Patch 	0049F403/04 ->Apply       (HD3), z-order = 0
Patch 	004A0ADA/04 ->Apply       (HD3), z-order = 0
Patch 	004A0ADF/04 ->Apply       (HD3), z-order = 0
Patch 	004A0B04/04 ->Apply       (HD3), z-order = 0
Patch 	004A0B09/04 ->Apply       (HD3), z-order = 0
Patch 	004A0EA5/04 ->Apply       (HD3), z-order = 0
Patch 	004A0EAA/04 ->Apply       (HD3), z-order = 0
Patch 	004A0ECF/04 ->Apply       (HD3), z-order = 0
Patch 	004A0ED4/04 ->Apply       (HD3), z-order = 0
Patch 	004A206E/04 ->Apply       (HD3), z-order = 0
Patch 	004A2073/04 ->Apply       (HD3), z-order = 0
Patch 	004A2098/04 ->Apply       (HD3), z-order = 0
Patch 	004A209D/04 ->Apply       (HD3), z-order = 0
Patch 	004A3DF6/04 ->Apply       (HD3), z-order = 0
Patch 	004A3DFB/04 ->Apply       (HD3), z-order = 0
Patch 	004A3E1F/04 ->Apply       (HD3), z-order = 0
Patch 	004A3E24/04 ->Apply       (HD3), z-order = 0
Patch 	004A4635/04 ->Apply       (HD3), z-order = 0
Patch 	004A463A/04 ->Apply       (HD3), z-order = 0
Patch 	004A465F/04 ->Apply       (HD3), z-order = 0
Patch 	004A4664/04 ->Apply       (HD3), z-order = 0
Patch 	004A47ED/04 ->Apply       (HD3), z-order = 0
Patch 	004A47F2/04 ->Apply       (HD3), z-order = 0
Patch 	004A4817/04 ->Apply       (HD3), z-order = 0
Patch 	004A481C/04 ->Apply       (HD3), z-order = 0
Patch 	004A49CB/04 ->Apply       (HD3), z-order = 0
Patch 	004A49D0/04 ->Apply       (HD3), z-order = 0
